V1,V2,V3,X1,X2,X3,X4,X5,X6
127,L1,B1,13.08225384,176.5999547,0.022742577,0.046174627,0.007682082,0.131063489
128,L1,B1,12.88998902,175.1777093,0.02275888,0.046213861,0.007688933,0.131145391
129,L1,B1,13.27790645,180.1401034,0.022739328,0.04618448,0.007685889,0.131032559
130,L1,B1,13.26423276,179.8619067,0.022745568,0.046205763,0.007687734,0.131074624
131,L1,B1,13.13310747,178.0410735,0.02271594,0.046138755,0.007678138,0.130891849
132,L1,B1,13.19368951,178.8365032,0.022733989,0.046160799,0.007679538,0.131001217
133,L1,B1,13.2903304,180.1496649,0.022755874,0.046209944,0.007688312,0.131125596
134,L1,B1,13.11315442,177.8591565,0.022740673,0.046197343,0.007688199,0.131065551
135,L1,B1,13.13251323,178.2172537,0.022747558,0.046194829,0.007687005,0.131073387
136,L3,B18,12.82829813,173.9550073,0.022862866,0.046582317,0.007773396,0.131779988
137,L3,B18,12.69471623,172.8836257,0.022895787,0.046613979,0.007777139,0.131934966
138,L3,B17,12.81129178,173.3731721,0.022924342,0.046679875,0.007789378,0.132098606
139,L3,B22,13.00922947,176.5474082,0.022581738,0.046120659,0.007719528,0.130113656
140,L3,B22,12.99260295,175.8564062,0.022870624,0.046567143,0.007769618,0.131781967
141,L3,B22,12.71930069,172.6570609,0.022884909,0.046597373,0.007775079,0.131871705
142,L3,B22,12.92996863,176.3195962,0.022865156,0.046558139,0.007768708,0.131760523
143,L3,B18,12.81796322,173.654944,0.02289301,0.046621492,0.007780178,0.131918141
144,L3,B18,13.13762248,177.9674087,0.022855595,0.046529576,0.007762469,0.131697756
145,L3,B18,12.85946826,174.1237878,0.022935177,0.046699551,0.007792011,0.132168053
146,L3,B18,12.81398119,174.3091137,0.022933917,0.046701773,0.007793088,0.132153207
147,L3,B18,13.07137982,177.1942613,0.022856096,0.046540042,0.007765419,0.131712684
148,L3,B17,12.87463675,174.31219,0.022905921,0.046636373,0.007781284,0.131989568
149,L3,B17,12.84676251,173.9390439,0.022840752,0.046500311,0.007757688,0.131625916
150,L3,B17,12.78335629,173.1382929,0.022922825,0.046662393,0.00778423,0.13208945
151,L2,B19,12.93254164,175.9974168,0.022860791,0.046364658,0.007706252,0.13170889
152,L2,B19,12.98662378,175.0743625,0.022650013,0.046265667,0.007743403,0.130518795
153,L2,B19,13.03700569,177.056327,0.02285173,0.046337031,0.007698373,0.13167862
154,L2,B19,12.9694459,177.2897096,0.022861435,0.046351151,0.007699772,0.1317418
155,L2,B19,13.02516373,176.6184124,0.022867632,0.046369774,0.007706281,0.131774297
156,L2,B19,13.09266839,176.9869025,0.02284861,0.046337031,0.007699523,0.131663939
157,L2,B19,13.34196818,180.7199432,0.022835012,0.046334019,0.00770285,0.131583109
158,L2,B13,13.29896835,173.9657328,0.022851172,0.046324401,0.007694943,0.131673259
159,L2,B12,13.03214148,176.8304273,0.022847952,0.046359893,0.007707362,0.131655196
160,L2,B19,13.16281956,178.1193111,0.022844044,0.046377726,0.007714008,0.131644804
161,L2,B19,13.17149427,178.5522371,0.022850771,0.04639249,0.007717345,0.131690662
162,L2,B19,12.91057306,175.4671303,0.02289729,0.046422164,0.00771163,0.131944287
163,L2,B19,13.30768594,180.4330165,0.022847723,0.046391204,0.007717477,0.131657671
164,L2,B19,13.32094917,181.0253277,0.022829344,0.046354367,0.007711855,0.131551767
165,L2,B19,13.20108997,179.6188795,0.022842598,0.046380475,0.007716063,0.131628226
166,L2,B19,13.07069982,176.9183926,0.022869035,0.046333932,0.007691551,0.131780812
167,L3,B18,12.8826437,174.0901148,0.022906092,0.046632309,0.007778608,0.131998806
168,L3,B17,12.82350131,173.388803,0.022845017,0.046511537,0.007759488,0.131653547
169,L3,B17,12.91922327,174.8902006,0.022909499,0.046639414,0.007781098,0.132012085
